station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;06/03/2017;0;18:00;1.0;0.64;0.0;2.0;29.8
83967;-51.17472221;-30.05361111;07/03/2017;1;00:00;1.0;0.81;0.0;2.6;24.5
83967;-51.17472221;-30.05361111;07/03/2017;1;12:00;1.0;0.75;0.0;0.7;26.6
83967;-51.17472221;-30.05361111;07/03/2017;1;18:00;1.0;0.59;0.0;4.1;31.4
83967;-51.17472221;-30.05361111;08/03/2017;2;00:00;1.0;0.82;0.0;2.6;24.6
83967;-51.17472221;-30.05361111;08/03/2017;2;12:00;1.0;0.71;0.0;2.8;27.0
83967;-51.17472221;-30.05361111;08/03/2017;2;18:00;1.0;0.56;0.0;1.8;33.0
83967;-51.17472221;-30.05361111;09/03/2017;3;00:00;1.0;0.81;0.0;2.0;26.4
83967;-51.17472221;-30.05361111;09/03/2017;3;12:00;1.0;0.62;0.0;4.0;28.0
83967;-51.17472221;-30.05361111;09/03/2017;3;18:00;1.0;0.53;0.0;2.8;34.0
83967;-51.17472221;-30.05361111;10/03/2017;4;00:00;1.0;0.96;17.3;1.7;22.7
83967;-51.17472221;-30.05361111;10/03/2017;4;12:00;1.0;0.91;34.8;1.6;23.0
83967;-51.17472221;-30.05361111;10/03/2017;4;18:00;1.0;0.76;0.0;1.3;26.0
83967;-51.17472221;-30.05361111;11/03/2017;5;00:00;1.0;0.89;0.0;1.4;22.5
83967;-51.17472221;-30.05361111;11/03/2017;5;12:00;1.0;0.75;0.0;2.8;23.6
83967;-51.17472221;-30.05361111;11/03/2017;5;18:00;1.0;0.6;0.0;2.8;27.2
83967;-51.17472221;-30.05361111;12/03/2017;6;00:00;1.0;0.78;0.0;2.6;23.2
83967;-51.17472221;-30.05361111;12/03/2017;6;12:00;0.8333333333333334;0.97;63.8;2.5;22.0
83967;-51.17472221;-30.05361111;12/03/2017;6;18:00;1.0;0.89;11.6;2.6;23.2
83967;-51.17472221;-30.05361111;13/03/2017;0;00:00;1.0;0.91;0.5;2.5;21.2
83967;-51.17472221;-30.05361111;13/03/2017;0;12:00;1.0;0.64;0.0;1.6;18.6
83967;-51.17472221;-30.05361111;13/03/2017;0;18:00;1.0;0.47;0.0;0.7;24.0
83967;-51.17472221;-30.05361111;14/03/2017;1;00:00;1.0;0.76;0.0;1.2;18.9
83967;-51.17472221;-30.05361111;14/03/2017;1;12:00;1.0;0.75;0.0;0.0;19.0
83967;-51.17472221;-30.05361111;14/03/2017;1;18:00;1.0;0.43;0.0;1.1;28.7
83967;-51.17472221;-30.05361111;15/03/2017;2;00:00;1.0;0.8;0.0;1.6;20.7
83967;-51.17472221;-30.05361111;15/03/2017;2;12:00;1.0;0.7;0.0;0.0;24.7
83967;-51.17472221;-30.05361111;15/03/2017;2;18:00;1.0;0.53;0.0;0.8;33.4
83967;-51.17472221;-30.05361111;16/03/2017;3;00:00;1.0;0.87;0.0;0.0;26.4
83967;-51.17472221;-30.05361111;16/03/2017;3;12:00;1.0;0.84;8.5;2.6;23.3
83967;-51.17472221;-30.05361111;16/03/2017;3;18:00;1.0;0.81;0.0;2.1;25.2
83967;-51.17472221;-30.05361111;17/03/2017;4;00:00;1.0;0.89;1.3;3.0;19.6
83967;-51.17472221;-30.05361111;17/03/2017;4;12:00;1.0;0.71;0.0;2.0;18.4
83967;-51.17472221;-30.05361111;17/03/2017;4;18:00;1.0;0.55;0.0;3.5;23.4
83967;-51.17472221;-30.05361111;18/03/2017;5;00:00;1.0;0.68;0.0;1.4;18.5
83967;-51.17472221;-30.05361111;18/03/2017;5;12:00;1.0;0.76;0.0;1.8;18.8
83967;-51.17472221;-30.05361111;18/03/2017;5;18:00;1.0;0.58;0.0;3.0;24.6
83967;-51.17472221;-30.05361111;19/03/2017;6;00:00;1.0;0.84;0.0;2.1;19.4
83967;-51.17472221;-30.05361111;19/03/2017;6;12:00;1.0;0.81;0.0;2.1;21.9
83967;-51.17472221;-30.05361111;19/03/2017;6;18:00;1.0;0.6;0.0;3.9;26.1
83967;-51.17472221;-30.05361111;20/03/2017;0;00:00;1.0;0.78;0.0;2.5;20.6
83967;-51.17472221;-30.05361111;20/03/2017;0;12:00;1.0;0.8;0.0;2.0;22.1
83967;-51.17472221;-30.05361111;20/03/2017;0;18:00;1.0;0.6;0.0;3.0;26.2
83967;-51.17472221;-30.05361111;21/03/2017;1;00:00;1.0;0.82;0.0;1.4;20.9
83967;-51.17472221;-30.05361111;21/03/2017;1;12:00;1.0;0.78;0.0;1.8;23.4
